LMC V0008    SiO maser.
LMC V3227    MinII 15.2.
LMC V3243    Not red.
LMC V3245    B-V: +0.56, +1.16.
LMC V3246    Erroneously called HV 5923 in [V0004].
LMC V3253    HV 13039.
LMC V3256    In the region of the cluster NGC 2021.
LMC V3261    MinII 14.8.
LMC V3262    MinII 15.6.
LMC V3270    VB A (B 14"SE). MinII 15.8.
LMC V3274    In the region of the cluster Anon 3.
LMC V3276    The depth of MinII is 0.3.
LMC V3336    Sp B1.5III-V. MinII 15.13. P var? [V0480]. Min=2431740.496+
LMC V3336    3.662789xE (JD 2413000 - 32000) [V0008].
LMC V3347    According to [V0180], log P=0.673. Misidentification?
LMC V3356    A=12+-8% ({lambda}=12mm). IRAS 05346-6949.
LMC V3375    A misprint (C.V.331) in [V0007].
LMC V3377    In the nebula LHa 120-N56. Const 14.66V [V0079]. Photographic
LMC V3377    brightness estimates may be influenced by the nebula.
LMC V3395    Red.
LMC V3401    Red.
LMC V3405    According to [V0445], P=223d or 450d.
LMC V3418    {Delta} m >= 0.4 I.
LMC V3423    MinII 16.2.
LMC V3427    VB. In the region of the nebula LHa 120-N157.
LMC V3428    VB A (B 16.5:B, 7", 300{deg}).
LMC V3434    Sp B2IIIe (Min) - B9Ieq (Max). Max: Lx/Lopt > 1. In the region
LMC V3434    of the cluster NGC 2034. Alternating "off" states up to 1 yr
LMC V3434    duration (absence of outbursts), and "on" states with periodic
LMC V3434    outbursts (see Table) simultaneously in the optical and in the
LMC V3434    X-ray range. The duration of an outburst is from 0.1d to 15d.
LMC V3434    During outbursts the X-ray pulsar has been observed, P=0.06921166s
